,author,published_at,updated_at,like_count,text
0,@user-rh5ix7ly7n,2024-06-14T11:38:46Z,2024-06-14T11:38:46Z,0,Bhagban ko Maan ne bale ko  saitan ki man ne balo se sopot Nehi chahiye saitani kom haar ne ke liye peida hua he  papistan is a saitani kom jay sri raam
1,@user-dv2sd7eo7x,2024-06-14T11:33:29Z,2024-06-14T11:33:29Z,0,Oa pagal log Indian Sher Hai Sher🐯🐯🐯🐯🐯🇮🇳🇮🇳🇮🇳🐯🐯🐯🇮🇳🇮🇳🇮🇳🐯🐯🐯🐯🇮🇳🇮🇳🇮🇳🇮🇳💪💪💪🇮🇳🐯🇮🇳💪🐯🇮🇳💪🐯💪🇮🇳
2,@ramtirthjoshi6959,2024-06-14T11:30:18Z,2024-06-14T11:30:18Z,0,पाकिस्तानी लौंडियें चाहे कितनी भी नफरत करें लेकिन इनको भारत का लौंडा बहुत पसंद है बहुत मरती है लेने के लिए।
3,@anandgoutam3271,2024-06-14T11:28:34Z,2024-06-14T11:28:34Z,0,😀😀
4,@veenabhat7390,2024-06-14T11:27:48Z,2024-06-14T11:27:48Z,0,Aukat kya hai salo tumari Pakistani
5,@gurjar_vishu,2024-06-14T11:27:48Z,2024-06-14T11:27:48Z,0,Pakistaniyo ko me serious nhi leta
6,@veenabhat7390,2024-06-14T11:24:06Z,2024-06-14T11:24:06Z,0,"Pagal sare, Pakistani sale, cricket samazhata hai kya, idiot pagal"
7,@user-dv2sd7eo7x,2024-06-14T11:23:31Z,2024-06-14T11:23:31Z,0,Oye Jahar Pakistani😂😂😂😂😂😂😂😂😂😂😂
8,@vishwajeetrawat3510,2024-06-14T11:23:21Z,2024-06-14T11:23:21Z,0,Me bs Pakistanis bewakoof public k baton ke maje lene ata hun.
9,@vedprakashkewalramani1612,2024-06-14T11:09:26Z,2024-06-14T11:09:26Z,0,"Yes, Pakistan is loser in everything,  no doubt losers always hate winners"
10,@jitusolankiofficial9179,2024-06-14T11:07:12Z,2024-06-14T11:07:12Z,0,Ham indians  chahate hai pakistan IND se har kar sab se jit jaye kyonki o beta hai bharat ka 😅😂
11,@johnrai2584,2024-06-14T11:06:36Z,2024-06-14T11:06:36Z,0,Inlogonko 1/1 kg atta dedo
12,@alexwest5412,2024-06-14T11:06:14Z,2024-06-14T11:06:14Z,0,Bhikaristani Madarsa chicks are no 1 😂😂
13,@rashmishukla5117,2024-06-14T11:02:54Z,2024-06-14T11:02:54Z,1,जय श्री राम जय जय श्री राम जय हनुमान जी की जय हो जय माता दी <br> 🙏🙏🌹🌹🌺🌹🌹🙏🙏💅👐👋👍👌❤️❤️🐚🏹🍌 जय भारत वंदेमातरम जय हिन्द।
14,@anantadharua56,2024-06-14T11:00:32Z,2024-06-14T11:00:32Z,0,India ke un educated log bhi ase bat nahi bolenge world me kahi bhi ase log nahi melenge<br>Srif pakistan ke alaba
15,@swayamchhetry3853,2024-06-14T10:56:04Z,2024-06-14T10:56:04Z,0,SAFED T. SHIRT. WAALI. SABKO. DETI. HAI. BHAI. HAM. INDIAN. KO. BHEE  DOO.. 👩👩😝😝😝
16,@devendrakudape6004,2024-06-14T10:53:09Z,2024-06-14T10:53:09Z,0,Ye jahil log he bhai
17,@AakashSharmahardwork,2024-06-14T10:40:07Z,2024-06-14T10:40:07Z,0,Tum log dogale ho
18,@lankeswarbasumatary2396,2024-06-14T10:35:37Z,2024-06-14T10:35:37Z,0,Bidhata ne in logon ke dimaak khaa daali bhai
19,@Deepak-fi1kr,2024-06-14T10:33:31Z,2024-06-14T10:33:31Z,0,मैं  इन लोगों को गाली दे दे कर थक गया हूं अब मैं रिटायर हो रहा हूं मेरा पद खाली है 😂😂
20,@sunilkamale4025,2024-06-14T10:29:59Z,2024-06-14T10:29:59Z,0,Isilye inke yaha gadhe ki sankhya bad rahi hai...😂😂😂
21,@gagankalyan1239,2024-06-14T10:24:34Z,2024-06-14T10:24:34Z,0,I love my ❤ India
22,@pankajrajyaguru2565,2024-06-14T10:23:54Z,2024-06-14T10:23:54Z,0,Pakistan main mard kyu 4 shadi karta hai in logo ki akkal Mandi se pata chal jata hai 😂😂😂
23,@user-qb2uw4py3z,2024-06-14T10:18:49Z,2024-06-14T10:18:49Z,0,Bhikhari Pakistani ladkiyo
24,@anilbhujable9623,2024-06-14T10:13:00Z,2024-06-14T10:13:00Z,0,Rishwat to in porkiyoke khoon me basi hai
25,@amitkumarnaik6546,2024-06-14T10:12:18Z,2024-06-14T10:12:18Z,0,Tum india ladke ke saath hi bhaag jaogi...😂😂😂
26,@pardeepwashist3852,2024-06-14T10:12:10Z,2024-06-14T10:12:10Z,0,India tumara baap h 😂😂😂
27,@kamlasingh6273,2024-06-14T10:10:26Z,2024-06-14T10:10:26Z,0,PKMKBP 😂😂😂
28,@sushilkumargautam7125,2024-06-14T10:09:51Z,2024-06-14T10:09:51Z,0,Tum log ko kya faida h India ka naam lene se barbad ho jayega pak ne india ko acha bol diya tho khatrA ho jayega
29,@9time268,2024-06-14T10:06:24Z,2024-06-14T10:06:24Z,0,Jahil andh bagat ki shaadi karo dono ki jodi badiya hogi dono ko kus nahi pata innocent dono
30,@9time268,2024-06-14T10:05:24Z,2024-06-14T10:05:24Z,0,Dadu mind duniya se koi lena dena nahi unki shaadi andh bagato se karwo jodi achi hogi
31,@9time268,2024-06-14T10:04:15Z,2024-06-14T10:04:15Z,0,Humne keya kiya pakistan ke sath humne kaun sa unki kudi chal layi haa mante seema haider ayi humne jaberdasti nahi laye wo kudh ayi
32,@9time268,2024-06-14T10:03:01Z,2024-06-14T10:03:01Z,0,Ek pocket jail main band 26 coror population
33,@9time268,2024-06-14T10:02:26Z,2024-06-14T10:02:26Z,0,India ko dekha kaha kahi dekh liya hota indan hi banti paka
34,@killersmile934,2024-06-14T10:01:32Z,2024-06-14T10:01:32Z,0,Wase pakistani girls ko like krne wale like kro
35,@aval5382,2024-06-14T09:56:47Z,2024-06-14T09:56:47Z,0,Dekho dekho bhikario ki aukaat Mera bharat mahan
36,@htskrbp1103,2024-06-14T09:53:40Z,2024-06-14T09:53:40Z,0,Ye school me hi seekaya jta h inko😂
37,@user-cd5pd2qe7s,2024-06-14T09:53:20Z,2024-06-14T09:53:20Z,0,Tumhe india pasand nhi hai na hum to sochte bhi nhi ki is duniya me pakistan ek bhikari desh bhi hai tum yo Aatankwadi hai hum kisi jiv ko bhi takleef nhi dete india ne bhik me diya hai pakistan tumko aukat me raho  jau tumara kam karo bhik maango 😂
38,@shashibhusan9453,2024-06-14T09:52:26Z,2024-06-14T09:52:26Z,0,Faltu logon ka interview kion leten
39,@user-cd5pd2qe7s,2024-06-14T09:50:25Z,2024-06-14T09:50:25Z,0,Tumhara to muh bhi pasand nhi hai hume kyun ki tumhe jaroorat hai raat ke khane ki hume nhi hum to khush hai hamari india me i love my india tumari Aukat nhi hai india ka nam leneka bhi Atankwadiyo
